Date,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,,,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Q3,"$1,975,147,336.00","$6,281,626,405.00","$1,602,362,369.00","$3,777,965,345.00","$619,141,463.00","$151,908,672.00","$14,408,151,590.00","$1,316,616,761.00","$7,006,531,197.00","$1,994,218,551.00","$2,663,066,752.00","$963,974,660.00","$463,743,669.00","$14,408,151,590.00","$658,530,575.00","($724,904,792.00)","($391,856,183.00)","$1,114,898,593.00","($344,833,197.00)","($311,834,997.00)",- ,,03Q3,"$1,975,147,336.00","($1,316,616,761.00)","$658,530,575.00","$6,281,626,405.00","($7,006,531,197.00)","($724,904,792.00)","$1,602,362,369.00","($1,994,218,551.00)","($391,856,183.00)","$3,777,965,345.00","($2,663,066,752.00)","$1,114,898,593.00","$619,141,463.00","($963,974,660.00)","($344,833,197.00)","$151,908,672.00","($463,743,669.00)","($311,834,997.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Q4,"$1,365,062,494.00","$4,498,836,183.00","$2,492,459,271.00","$6,394,200,264.00","$895,958,624.00","$177,065,000.00","$15,823,581,836.00","$1,833,354,121.00","$6,500,867,064.00","$1,786,646,345.00","$3,695,212,660.00","$1,405,594,096.00","$601,907,550.00","$15,823,581,836.00","($468,291,627.00)","($2,002,030,880.00)","$705,812,926.00","$2,698,987,604.00","($509,635,472.00)","($424,842,550.00)",- ,,03Q4,"$1,365,062,494.00","($1,833,354,121.00)","($468,291,627.00)","$4,498,836,183.00","($6,500,867,064.00)","($2,002,030,880.00)","$2,492,459,271.00","($1,786,646,345.00)","$705,812,926.00","$6,394,200,264.00","($3,695,212,660.00)","$2,698,987,604.00","$895,958,624.00","($1,405,594,096.00)","($509,635,472.00)","$177,065,000.00","($601,907,550.00)","($424,842,550.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Q1,"$2,277,284,045.00","$3,803,043,571.00","$2,018,167,283.00","$3,946,469,080.00","$701,552,233.00","$114,040,000.00","$12,860,556,213.00","$962,853,652.00","$6,063,242,260.00","$612,718,070.00","$4,027,585,332.00","$482,192,615.00","$711,964,284.00","$12,860,556,213.00","$1,314,430,393.00","($2,260,198,688.00)","$1,405,449,213.00","($81,116,252.00)","$219,359,618.00","($597,924,284.00)",- ,,04Q1,"$2,277,284,045.00","($962,853,652.00)","$1,314,430,393.00","$3,803,043,571.00","($6,063,242,260.00)","($2,260,198,688.00)","$2,018,167,283.00","($612,718,070.00)","$1,405,449,213.00","$3,946,469,080.00","($4,027,585,332.00)","($81,116,252.00)","$701,552,233.00","($482,192,615.00)","$219,359,618.00","$114,040,000.00","($711,964,284.00)","($597,924,284.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Q2,"$2,443,669,000.00","$4,787,726,300.00","$1,574,484,587.00","$7,051,650,589.00","$555,616,807.00","$244,443,807.00","$16,657,591,090.00","$1,647,401,974.00","$6,831,073,907.00","$1,411,557,258.00","$4,754,398,433.00","$1,198,029,417.00","$815,130,102.00","$16,657,591,090.00","$796,267,026.00","($2,043,347,607.00)","$162,927,330.00","$2,297,252,156.00","($642,412,610.00)","($570,686,295.00)",- ,,04Q2,"$2,443,669,000.00","($1,647,401,974.00)","$796,267,026.00","$4,787,726,300.00","($6,831,073,907.00)","($2,043,347,607.00)","$1,574,484,587.00","($1,411,557,258.00)","$162,927,330.00","$7,051,650,589.00","($4,754,398,433.00)","$2,297,252,156.00","$555,616,807.00","($1,198,029,417.00)","($642,412,610.00)","$244,443,807.00","($815,130,102.00)","($570,686,295.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Q3,"$2,973,413,146.00","$6,543,326,004.00","$5,338,583,376.00","$6,802,588,960.00","$1,057,590,935.00","$271,618,737.00","$22,987,121,159.00","$2,694,447,547.00","$10,064,921,279.00","$1,794,669,200.00","$6,550,371,645.00","$1,232,878,585.00","$649,832,902.00","$22,987,121,159.00","$278,965,599.00","($3,521,595,275.00)","$3,543,914,176.00","$252,217,315.00","($175,287,650.00)","($378,214,166.00)",- ,,04Q3,"$2,973,413,146.00","($2,694,447,547.00)","$278,965,599.00","$6,543,326,004.00","($10,064,921,279.00)","($3,521,595,275.00)","$5,338,583,376.00","($1,794,669,200.00)","$3,543,914,176.00","$6,802,588,960.00","($6,550,371,645.00)","$252,217,315.00","$1,057,590,935.00","($1,232,878,585.00)","($175,287,650.00)","$271,618,737.00","($649,832,902.00)","($378,214,166.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Q4,"$2,872,093,311.00","$8,241,734,985.00","$3,724,156,776.00","$8,319,612,147.00","$898,478,750.00","$500,704,228.00","$24,556,780,197.00","$2,489,149,379.00","$8,762,088,779.00","$4,375,300,468.00","$6,000,845,410.00","$1,954,708,908.00","$974,687,253.00","$24,556,780,197.00","$382,943,932.00","($520,353,793.00)","($651,143,692.00)","$2,318,766,737.00","($1,056,230,158.00)","($473,983,026.00)",- ,,04Q4,"$2,872,093,311.00","($2,489,149,379.00)","$382,943,932.00","$8,241,734,985.00","($8,762,088,779.00)","($520,353,793.00)","$3,724,156,776.00","($4,375,300,468.00)","($651,143,692.00)","$8,319,612,147.00","($6,000,845,410.00)","$2,318,766,737.00","$898,478,750.00","($1,954,708,908.00)","($1,056,230,158.00)","$500,704,228.00","($974,687,253.00)","($473,983,026.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05Q1,"$1,295,325,076.00","$6,899,991,764.00","$3,367,399,846.00","$7,438,391,420.00","$612,347,631.00","$564,028,818.00","$20,177,484,555.00","$1,243,241,491.00","$7,866,179,365.00","$1,005,872,401.00","$8,412,889,275.00","$1,080,359,967.00","$568,942,055.00","$20,177,484,555.00","$52,083,585.00","($966,187,601.00)","$2,361,527,445.00","($974,497,855.00)","($468,012,336.00)","($4,913,237.00)",- ,,05Q1,"$1,295,325,076.00","($1,243,241,491.00)","$52,083,585.00","$6,899,991,764.00","($7,866,179,365.00)","($966,187,601.00)","$3,367,399,846.00","($1,005,872,401.00)","$2,361,527,445.00","$7,438,391,420.00","($8,412,889,275.00)","($974,497,855.00)","$612,347,631.00","($1,080,359,967.00)","($468,012,336.00)","$564,028,818.00","($568,942,055.00)","($4,913,237.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05Q2,"$3,544,993,322.00","$12,242,486,348.00","$5,186,965,913.00","$8,096,275,909.00","$805,686,876.00","$466,710,835.00","$30,343,119,203.00","$2,429,881,666.00","$12,239,312,915.00","$2,566,675,656.00","$10,628,855,879.00","$1,621,500,740.00","$856,892,346.00","$30,343,119,203.00","$1,115,111,656.00","$3,173,432.00","$2,620,290,257.00","($2,532,579,970.00)","($815,813,864.00)","($390,181,511.00)",- ,,05Q2,"$3,544,993,322.00","($2,429,881,666.00)","$1,115,111,656.00","$12,242,486,348.00","($12,239,312,915.00)","$3,173,432.00","$5,186,965,913.00","($2,566,675,656.00)","$2,620,290,257.00","$8,096,275,909.00","($10,628,855,879.00)","($2,532,579,970.00)","$805,686,876.00","($1,621,500,740.00)","($815,813,864.00)","$466,710,835.00","($856,892,346.00)","($390,181,511.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05Q3,"$1,928,334,619.00","$12,970,576,644.00","$2,323,632,488.00","$10,084,794,921.00","$670,589,913.00","$541,770,732.00","$28,519,699,317.00","$2,358,316,568.00","$9,037,394,900.00","$5,391,919,338.00","$9,219,264,541.00","$1,747,657,334.00","$765,146,635.00","$28,519,699,317.00","($429,981,949.00)","$3,933,181,744.00","($3,068,286,850.00)","$865,530,380.00","($1,077,067,421.00)","($223,375,904.00)",- ,,05Q3,"$1,928,334,619.00","($2,358,316,568.00)","($429,981,949.00)","$12,970,576,644.00","($9,037,394,900.00)","$3,933,181,744.00","$2,323,632,488.00","($5,391,919,338.00)","($3,068,286,850.00)","$10,084,794,921.00","($9,219,264,541.00)","$865,530,380.00","$670,589,913.00","($1,747,657,334.00)","($1,077,067,421.00)","$541,770,732.00","($765,146,635.00)","($223,375,904.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05Q4,"$3,434,348,650.00","$11,237,432,448.00","$5,728,803,004.00","$10,141,370,332.00","$949,216,648.00","$473,336,972.00","$31,964,508,054.00","$1,893,162,598.00","$9,595,136,605.00","$5,048,707,719.00","$11,357,781,897.00","$2,967,574,614.00","$1,102,144,620.00","$31,964,508,054.00","$1,541,186,052.00","$1,642,295,843.00","$680,095,285.00","($1,216,411,566.00)","($2,018,357,966.00)","($628,807,648.00)",- ,,05Q4,"$3,434,348,650.00","($1,893,162,598.00)","$1,541,186,052.00","$11,237,432,448.00","($9,595,136,605.00)","$1,642,295,843.00","$5,728,803,004.00","($5,048,707,719.00)","$680,095,285.00","$10,141,370,332.00","($11,357,781,897.00)","($1,216,411,566.00)","$949,216,648.00","($2,967,574,614.00)","($2,018,357,966.00)","$473,336,972.00","($1,102,144,620.00)","($628,807,648.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
