ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
HST,LODGING,3/31/08,2/25/20,4/28/08,713791.97,62000000,11763000000,10.367,-150000000,385000000,739000000,61000000,1.122,5618000000,0,124000000,0,0.058,0.2,130000000,254000000,0.24,54000000,0.11,0.11,5414000000,14298829455,14,9.327,79000000,0.151,319000000,0.302,0,76000000,16996000000,0,202000000,6072000000,9065829455,-171000000,0,-35000000,-4000000,-209000000,-264000000,-136000000,0,229000000,0,61000000,59000000,-1000000,0,0.056,186000000,133000000,232000000,1.818,1.675,15.314,15.363,10695000000,2000000,17.36,1.664,1.664,92000000,-424000000,1058000000,0,0,69000000,1,522225199,522225199,,2.026,11763000000,0,-7000000,0,22.525,2008,3,1
DRH,LODGING,3/31/08,3/1/20,4/29/08,201736.36,0,2130325000,11.205,-21542000,53564000,96541000,5177000,1.006,837846000,20762000,16719000,0,0.074,0.25,12149000,28868000,0.217,1454000,0.05,0.05,1061967000,2033376538,17,10.332,-1926000,-0.02,36322000,0.273,0,10695000,2914607000,0,0,1068358000,1249094538,-10699000,0,-344000,13320000,-22819000,-9843000,-20472000,0,19616000,0,5177000,5177000,0,0,0.039,24611000,11711000,100103000,5,1.176,18.728,19.101,1946975000,0,13.18,1.759,1.759,66780000,-84921000,132863000,0,671000,2959000,1,94771968,94771968,,1.402,2130325000,0,-3723000,0,22.478,2008,3,1
FRT,STRIP CENTER,3/31/08,2/11/20,5/7/08,76377.66,-540000,2979130000,18.924,-36230000,27654000,39890000,29986000,1.649,1636457000,0,25400000,10731000,0.029,0.61,54339000,79739000,0.627,29986000,0.51,0.51,1112489000,6432982961,21,15.551,16190000,0.275,87333000,0.686,0,24353000,4587933000,0,70249000,1834361000,4824179961,-23037000,95000,2228000,-2039000,-35909000,-36642000,-38815000,-684000,52420000,0,29986000,29851000,0,0,0.235,32334000,54999000,95757000,1.196,4.336,23.9,22.986,2715998000,135000,82.06,9.833,9.833,64588000,-413376000,127223000,0,0,6934000,1,58788447,58788447,,2.164,2979130000,0,0,0,50.675,2008,3,1
PEAK,HEALTH CARE,3/31/08,2/13/20,4/29/08,544970.26,-55897000,12500064000,18.432,-31479000,183664000,51428000,50412000,2.042,7570940000,68387000,82358000,0,0.049,0,149027000,231385000,0.918,52657000,0.21,0.21,3995638000,16019651925,18,13.701,100196000,0.462,200749000,0.796,598167000,96370000,19289173000,0,1991767000,8158679000,8632375925,57731000,-472000,4243000,54829000,-104370000,-52625000,-21319000,1553000,131675000,0,50412000,45129000,0,0,0.179,99814000,100935000,249714000,0,2.16,18.25,16.333,8940632000,5283000,36.75,8.66,7.992,32849000,-174878000,252177000,0,3526000,20538000,1,234894583,216773000,217663000,1.163,11901897000,0,2245000,0,54.905,2008,3,1
AHT,LODGING,3/31/08,3/13/20,5/8/08,12993.2,-252000,4357128000,10.566,-32645000,141159000,222217000,6185000,2.317,2712726000,0,46326000,0,0.146,0.21,46216000,92542000,0.294,6595000,-0.01,-0.01,1255834000,3259979839,17,8.447,-5330000,-0.045,92273000,0.293,3144000,39621000,6925551000,4107000,136019000,2909157000,688412839,2289000,61358000,-4594000,13637000,-35031000,-30374000,5348000,-23365000,27315000,-136000,6185000,-833000,-2267000,0,-0.003,53274000,38999000,130026000,-21,0.548,-204.824,-191.667,3824097000,7018000,5.75,0.532,0.528,123422000,-179639000,314490000,0,1609000,7704000,1,119723972,118855000,118855000,2.646,4353984000,0,410000,0,36.633,2008,3,1
CDR,STRIP CENTER,3/31/08,2/14/20,5/6/08,94122.99,-129000,1629418000,12.408,-29956000,33606000,12765000,5079000,1.803,903691000,0,11529000,0,0.07,0,16463000,27992000,0.648,5079000,0.07,0.07,551617000,1444075038,22,13.298,-17745000,-0.399,30431000,0.704,0,11384000,2499503000,0,3775000,994744000,573990038,-5873000,-17454000,0,38653000,-10461000,30388000,-48472000,0,12211000,0,5079000,3112000,-280000,0,0.072,13720000,16711000,23253000,0,1.041,42.364,41.645,1531594000,1967000,12.91,3.581,3.58,21089000,-104406000,43196000,0,734000,2191000,1,44460886,44458000,44459000,0.972,1629418000,0,0,0,36.651,2008,3,1
CUZ,OFFICE,3/31/08,4/30/20,5/12/08,148768.4,-8171000,1623000000,41.67,-56977000,61376000,14624000,5652000,1.96,793882000,5988000,11439000,0,0.054,0,8710000,20149000,0.448,2435000,0.16,0.16,532837000,2225122782,77,31.167,-46115000,-3.606,30351000,0.675,0,6275000,2355506000,0,207534000,1044303000,1492616782,41083000,-8616000,340000,117693000,-18974000,94627000,-64406000,-19000,10862000,0,5652000,1839000,0,0,0.041,27579000,2772000,72650000,0,2.801,292.441,272,1221040000,3813000,108.8,8.624,8.038,56718000,23151000,44975000,0,998000,14385000,1,13718904,12787000,12917500,3.517,1623000000,0,-3217000,0,126.926,2008,3,1
OHI,HEALTH CARE,3/31/08,3/1/20,4/28/08,236761.13,0,1183727000,8.583,-10534000,5270000,0,17234000,1.008,568705000,0,9396000,0,0.063,0.3,27419000,36815000,0.901,17234000,0.21,0.21,589489000,1809133370,17,12.514,17943000,0.261,40866000,1,0,10185000,1747162000,0,47474000,594238000,1245698370,-463000,0,8009000,-5000000,-22439000,-19430000,-9510000,1024000,28477000,0,17234000,14753000,-446000,0,0.361,14004000,26862000,0,1.429,2.113,22.234,22.222,1036583000,2481000,18,7.892,7.832,65297000,-370302000,40866000,0,526000,3094000,1,69205465,68680000,68747000,0.595,1183727000,0,0,73000,17.235,2008,3,1
WPC,NET LEASE,3/31/08,5/2/20,5/9/08,178445.14,6068000,1126088000,16.557,-2832000,17625000,14813000,17101000,0.721,343058000,0,6588000,0,0.056,0.48,29288000,35876000,0.625,24245000,0.44,0.43,643658000,1424064260,9,7.668,7927000,0.204,42559000,0.742,98022000,5043000,1353499000,0,346345000,463812000,1098631260,5488000,0,5776000,15941000,-29581000,-7805000,2306000,1313000,10759000,228000,17101000,17101000,-39000,0,0.298,21504000,21055000,56174000,1.091,1.707,12.842,13.453,588313000,0,30,3.996,4.242,48496000,-119341000,57372000,0,2106000,15413000,1,36621042,38876136,40202798,1.476,1028066000,0,7144000,64580000,26.445,2008,3,1
HT,LODGING,3/31/08,2/26/20,5/9/08,43435.55,-260000,1118751000,31.117,-38288000,12608000,36589000,-2879000,2.341,721967000,0,9967000,0,0.074,0.72,7898000,17865000,0.321,-2879000,-0.4,-0.4,320572000,1110318123,18,11.016,-34616000,-3.36,19073000,0.343,5578000,10777000,1822532000,0,49798000,750463000,400959123,281000,816000,0,56772000,-8707000,46794000,-50185000,-12700000,3672000,0,-2879000,-4079000,0,0,-0.073,11525000,7548000,18808000,-1.8,1.251,27.835,27.028,930589000,1200000,38.92,1.59,1.59,82954000,-78632000,55662000,0,314000,1903000,1,10302136,10302136,10222785,5.403,1113173000,0,0,0,108.053,2008,3,1
BDN,OFFICE,3/31/08,4/28/20,5/9/08,172959.94,-6489000,5200802000,19.706,-12626000,3852000,64605000,14648000,1.984,3080765000,0,40363000,65747000,0.097,0.44,52098000,92461000,0.554,14648000,0.15,0.15,1715865000,4671300668,22,12.194,61542000,0.707,102386000,0.613,204627000,37450000,8073088000,0,72310000,3403945000,1594387668,-1748000,-168000,0,-16868000,-40514000,-59271000,-16645000,0,74168000,0,14648000,12650000,-7696000,0,0.076,60875000,41511000,155220000,2.933,0.929,36.454,35.686,4652828000,1998000,18.2,2.318,2.304,101688000,-547647000,166991000,0,0,5004000,1,87603718,87073721,87088131,1.918,4996175000,0,0,0,57.379,2008,3,1
ROIC,STRIP CENTER,3/31/08,4/23/20,5/13/08,128529.92,0,412852809,5.362,0,1853999,0,1089700,0.064,0,0,0,0,,0,1867342,1867342,,1867342,0.02,0.02,277506291,,,,-98572,-0.002,0,,0,0,410998810,0,410560622,17756463,,1655429,0,0,0,0,-45999,1800000,1800000,-98572,0,1089700,1089700,0,0,,410150,-410150,269910,0,,,,0,0,,,,0,2823902,0,0,0,410150,1,51750000,51750000,51750000,0,412852809,350264,777642,2306426,7.978,2008,3,1
KRC,OFFICE,3/31/08,4/30/20,4/23/08,119521.07,0,2085909000,20.901,-27085000,4892000,16967000,12266000,1.911,1132303000,0,19866000,0,0.041,0.58,21979000,41845000,0.591,12266000,0.3,0.3,678374000,2909467588,20,13.109,4425000,0.136,53835000,0.76,0,9713000,3213320000,0,13176000,1296334000,1782056588,-6851000,0,-10635000,22290000,-19400000,-11843000,-26518000,32000,31510000,0,12266000,9864000,0,0,0.139,29952000,23883000,49295000,1.933,2.627,18.26,18.09,1925630000,2402000,54.45,6.717,6.662,73147000,-96636000,70802000,0,3490000,9236000,1,32728312,32456614,32554927,2.181,2085909000,0,0,0,64.268,2008,3,1
BXP,OFFICE,3/31/08,3/2/20,5/12/08,172641.26,-53091000,10349487000,30.656,6565000,852283000,123630000,88461000,1.646,5527832000,0,74671000,0,0.087,0.68,156300000,230971000,0.623,88461000,0.74,0.73,3664437000,16584485087,20,14.68,109379000,0.915,246929000,0.666,0,67839000,15025036000,0,176346000,6030538000,11908936087,-712278000,-72167000,-1528000,32970000,-936390000,-905452000,90360000,29641000,102814000,0,88461000,88461000,0,0,0.239,94259000,152670000,128769000,0.919,3.25,21.365,21.078,8527908000,0,99.49,7.997,7.986,134580000,401410000,370559000,0,5433000,19588000,1,119699830,119536000,121022000,3.1,10349487000,0,0,0,86.581,2008,3,1
SHO,LODGING,3/31/08,2/20/20,5/8/08,215635.55,0,3007362000,18.029,-31820000,69667000,126342000,1055000,1.747,1720113000,0,29826000,0,0.068,0.35,25537000,55363000,0.223,1055000,-0.07,-0.07,1058605000,2809765382,13,8.205,-10458000,-0.178,122405000,0.492,16251000,24482000,4507686000,3287000,30350000,1849211000,1159319382,-45112000,4000000,-11827000,-2038000,-25995000,-39860000,-26614000,0,21362000,0,1055000,-4177000,0,0,-0.017,95995000,26410000,48423000,-5,1.095,11.872,12.11,2789153000,5232000,19.74,1.079,1.079,45703000,-95186000,248747000,0,1049000,64420000,1,58729452,58717000,58717000,4.236,2991111000,0,0,0,50.941,2008,3,1
KIM,STRIP CENTER,3/31/08,2/26/20,5/8/08,435597.78,20691000,9431593000,15.342,-113323000,150961000,54333000,98467000,1.311,4539070000,0,49253000,0,0.039,0.4,161875000,211128000,1.108,107877000,0.34,0.33,3880507000,14483092863,24,18.05,40377000,0.16,136205000,0.715,0,53998000,13819702000,0,2229376000,5087344000,10094983863,63462000,-16023000,8434000,331263000,-113438000,222517000,-312755000,-167897000,153700000,0,98467000,86645000,-3217000,0,0.455,69535000,66670000,0,1.176,2.601,28.123,27.825,6467142000,11822000,39.79,14.124,14.08,248422000,163905000,190538000,0,-484000,24750000,1,253706556,252932000,255916000,0.753,9431593000,0,9410000,0,37.289,2008,3,1
FR,INDUSTRIAL,3/31/08,4/29/20,5/7/08,131449.21,-11675000,3265644000,21.929,14694000,31139000,57062000,53617000,2.306,1972747000,0,42616000,32180000,0.095,0.72,80125000,122741000,1.011,51269000,1.13,1.13,942596000,3277286858,12,7.178,15234000,0.354,64350000,0.53,0,28856000,5207252000,0,60694000,2174080000,1335678858,367000,-4408000,-3292000,29143000,-36079000,-16329000,16156000,6110000,540000,-39000,53617000,48760000,-76293000,0,0.402,62441000,1909000,111718000,0.637,1.417,8.833,8.714,2767927000,4857000,30.15,2.969,2.88,42635000,-264756000,121412000,0,0,23289000,1,44301123,42984000,42984000,2.825,3265644000,0,-2348000,0,75.973,2008,3,1
APLE,LODGING,3/31/08,2/24/20,5/8/08,223216.63,0,504498,0.002,0,9618,0,-19852,43.208,200500,0,0,0,,0,-17216,-17216,,-19852,-3970.4,,11412,,,,-18766,-0.004,0,,0,2636,695380,0,0,493086,,-10286,0,0,50000,0,8480,0,0,-18766,0,-19852,-19852,0,0,,17216,-17216,0,0,,,,0,0,,,,0,-36698,0,0,0,17216,1,10581919,5000000,,0,504498,0,0,0,0.101,2008,3,1
CUBE,SELF STORAGE,3/31/08,2/22/20,5/9/08,196330.51,-3209000,1681755000,9.384,-13729000,21715000,25389000,-3984000,2.023,1042053000,11044000,20466000,0,0.077,0.18,9842000,30308000,0.505,-3984000,-0.07,-0.07,540472000,1727209216,42,14.771,-1994000,-0.035,34674000,0.577,0,13826000,2702093000,0,0,1093513000,706871216,1108000,0,0,14684000,-10386000,3374000,-14001000,0,11735000,0,-3984000,-3984000,-561000,0,-0.066,25445000,9229000,39863000,-2.571,1.308,-51.612,-53.13,1643713000,0,12.22,3.02,3.006,0,-255629000,60063000,0,856000,5495000,1,57845435,57593000,57593000,1.043,1681755000,0,0,0,29.201,2008,3,1
EGP,INDUSTRIAL,3/31/08,2/14/20,5/7/08,39055,-351000,1115787000,16.788,-71458000,187000,10880000,8091000,1.806,672292000,0,12418000,0,0.043,0.52,15464000,27882000,0.689,8091000,0.31,0.31,397613000,1840682988,31,16.882,-57831000,-2.442,29560000,0.731,0,7373000,1787892000,0,2649000,718174000,1168577988,-537000,0,97000,69923000,-13086000,58091000,-72255000,435000,13627000,0,8091000,7435000,0,0,0.184,14499000,15061000,29078000,1.677,2.939,40.839,38.802,1058014000,656000,46.95,7.526,7.161,0,-102450000,40440000,0,458000,2081000,1,24889840,23684000,23829000,1.707,1115787000,0,0,0,47.111,2008,3,1
REG,STRIP CENTER,3/31/08,2/19/20,5/8/08,171248.26,-28274000,4195712000,25.202,-81853000,29212000,28382000,31638000,1.292,2108500000,0,25522000,11776000,0.04,0,54176000,79698000,0.666,31638000,0.38,0.38,1762322000,6849015082,26,18.948,-40046000,-0.573,91266000,0.763,16217000,22538000,6258783000,0,32413000,2277344000,4769727082,10544000,-5248000,799000,101617000,-49448000,43709000,-74972000,12129000,41807000,0,31638000,26719000,99000,0,0.223,40442000,50824000,147292000,0,2.707,30.069,29.917,3957378000,4919000,68.21,10.27,10.27,67461000,-65049000,119648000,0,5570000,14123000,1,69927094,69927094,,1.711,4179495000,0,0,0,59.769,2008,3,1
NNN,NET LEASE,3/31/08,2/11/20,5/7/08,171964.15,2818000,2662760000,19.647,-165538000,11838000,4879000,33053000,0.87,1175564000,0,10225000,0,0.065,0.375,45767000,55992000,0.932,30401000,0.43,0.43,1420795000,2802258695,13,11.445,-94746000,-1.31,55221000,0.919,0,15366000,3826486000,0,346850000,1236724000,1638532695,-15661000,-778000,6152000,115444000,-25698000,87757000,-174210000,-9666000,70792000,0,33053000,31357000,0,0,0.522,20914000,34307000,0,0.872,1.153,10.458,9.828,2228739000,1696000,22.31,7.9,7.778,7212000,143258000,60100000,0,485000,9999000,1,73443868,72314787,72447395,0.831,2662760000,0,-2652000,1115000,36.822,2008,3,1
PLD,INDUSTRIAL,3/31/08,5/1/20,5/12/08,764100.94,37492000,7689254000,26.503,-122718000,322489000,46171000,42932000,1.663,4498747000,0,38341000,46404000,0.035,0.52,73860000,112201000,0.636,42932000,0.4,0.39,2590700000,9879539451,22,16.309,-60274000,-0.617,130315000,0.738,0,30928000,11865512000,0,366385000,4308152000,5703281451,36396000,-94035000,-87212000,394119000,-53389000,219518000,-251325000,0,62444000,5759000,42932000,38980000,-1442000,0,0.221,76952000,53363000,219294000,1.3,2.201,18.235,18.305,6546346000,3952000,58.21,8.337,8.318,181910000,232859000,176486000,0,6529000,35153000,1,97977692,97750901,99789253,1.805,7689254000,0,0,0,78.662,2008,3,1
LSI,SELF STORAGE,3/31/08,2/26/20,5/9/08,47240.18,-4221000,1185575000,24.185,-23490000,7233000,18625000,8953000,1.214,592114000,6027000,8920000,0,0.057,0.63,17908000,26828000,0.538,8953000,0.41,0.41,523534000,1539325254,21,13.931,-9808000,-0.453,31212000,0.626,0,8955000,1770456000,0,0,635700000,954444254,3223000,0,3375000,25597000,-13668000,14537000,-24996000,13000,13682000,0,8953000,8953000,0,0,0.18,12772000,18440000,19474000,1.537,1.823,25.116,24.539,1160729000,0,43.68,4.796,4.751,2439000,-103231000,49837000,0,408000,4125000,1,21850830,21647366,21664445,2.302,1185575000,0,0,0,54.768,2008,3,1
MAC,MALL,3/31/08,2/25/20,5/19/08,153539.13,-48124000,7838193000,18.586,-127159000,127949000,87260000,114680000,4.557,5767698000,0,62860000,0,0.042,0.8,169210000,232070000,1.1,98383000,1.32,1.3,1344537000,11163337325,25,15.908,-92163000,-1.274,123684000,0.586,0,70827000,13477942000,0,1061621000,6126538000,5523588325,-21013000,-93837000,890000,261890000,-67305000,188764000,-244773000,192000,34996000,0,98082000,95628000,-104788000,16598000,0.453,64436000,59248000,74187000,0.606,4.108,33.533,32.271,5938751000,2454000,73.9,6.167,5.969,125871000,-153896000,210944000,0,2886000,4403000,1,74744091,72342000,88290000,2.916,7838193000,0,301000,0,108.349,2008,3,1
CLI,OFFICE,3/31/08,4/24/20,5/1/08,103940.67,263000,4560962000,24.64,-20125000,44253000,84091000,15449000,1.55,2239963000,0,46161000,56757000,0.065,0.64,47909000,94070000,0.483,15449000,0.23,0.23,1610763000,4770595790,20,11.373,33343000,0.51,110622000,0.568,0,32460000,6756672000,0,183714000,2497472000,2574885790,5875000,-1965000,-4727000,28006000,-52099000,-28820000,-18773000,42000,53468000,0,15449000,14949000,0,0,0.077,58817000,51805000,130053000,2.783,1.599,24.561,25.128,3962914000,500000,39.2,3.18,3.164,130581000,-296610000,194713000,0,0,11095000,1,65685862,65372000,80491000,2.979,4560962000,0,0,0,69.769,2008,3,1
EQIX,DATA CENTER,3/31/08,2/22/20,4/30/08,90480.55,-221000,2286787000,23.241,-128708000,260834000,94486000,5421000,1.712,1162174000,0,35459000,0,0,0,19486000,54945000,0.347,5892000,0.15,0.15,843130000,4225794056,99,26.714,-65724000,-1.812,63732000,0.403,534399000,13594000,2408829000,0,64692000,1443657000,3324454056,-29799000,-23241000,7238000,37360000,0,44598000,-136200000,28918000,62984000,-1181000,5421000,5421000,0,0,0.034,49727000,14005000,70230000,0,3.943,708.99,695.538,1284395000,0,90.42,6.749,6.66,59156000,-553211000,158218000,0,12341000,49727000,1,36766800,36277000,37259000,4.361,1752388000,0,471000,29442000,48.306,2008,3,1
EXR,SELF STORAGE,3/31/08,2/26/20,5/7/08,143405.91,0,2049284000,9.311,-24028000,55223000,21803000,6700000,2.241,1320992000,0,11581000,0,0.056,0.25,23054000,34635000,0.527,6700000,0.1,0.1,612886000,2401390476,24,16.807,171000,0.003,43904000,0.668,0,16354000,3315053000,0,94711000,1373748000,1135621476,3633000,0,634000,100000,-16604000,-18586000,-1980000,21812000,24199000,0,6700000,6700000,0,0,0.102,21924000,21980000,34787000,2.5,1.853,32.62,32.865,1853158000,0,17.09,4.528,4.485,9529000,-215252000,65707000,0,800000,10179000,1,66449472,65825022,71359324,0.998,2049284000,0,0,0,31.132,2008,3,1
WRE,OFFICE,3/31/08,4/27/20,5/9/08,82346.72,-1244000,1892198000,9.989,-23971000,20495000,23133000,-1488000,3.055,1344822000,0,20525000,10462000,0.048,0.42,16176000,36701000,0.522,-1488000,-0.03,-0.03,465738000,2951247357,26,15.562,-1818000,-0.039,47145000,0.671,0,17664000,3216525000,0,0,1422674000,1626920357,-8630000,0,1135000,20716000,-19756000,-6812000,-23971000,0,22153000,0,-1488000,-1488000,0,0,-0.021,23605000,23540000,57590000,-14,3.493,32.747,32.477,1719887000,0,34.75,6.136,6.111,39008000,-96660000,70278000,0,506000,3080000,1,46817852,46623000,46623000,1.507,1892198000,0,0,0,40.585,2008,3,1
DLR,DATA CENTER,3/31/08,3/3/20,5/9/08,276998.22,10270000,2895036000,20.892,-114406000,71815000,39688000,11108000,1.057,1190691000,0,26233000,0,0.03,0.31,25740000,51973000,0.454,11108000,0.04,0.04,1367026000,3715043338,40,20.33,-96860000,-1.48,74859000,0.654,0,14632000,4013912000,0,0,1444294000,2596167338,3015000,0,152000,-187940000,-44763000,98429000,-112960000,0,17546000,0,11108000,2850000,0,0,0.025,49638000,25221000,136416000,7.75,1.899,474.533,493.125,2387446000,8258000,39.45,6.169,6.134,46419000,-120535000,114547000,0,1595000,8845000,1,65809058,65431586,67142783,1.751,2895036000,0,0,0,44.245,2008,3,1
AKR,STRIP CENTER,3/31/08,2/22/20,5/8/08,90906.01,-1779000,1196555000,7.471,-154868000,103302000,6677000,8743000,3.045,666030000,0,6802000,0,0.042,0.21,16688000,23490000,0.874,10600000,0.27,0.27,241049000,1370612050,25,16.239,-160148000,-4.964,20195000,0.752,15309000,6088000,1743974000,0,116658000,733946000,807884050,-27453000,-1492000,-1447000,108180000,-14121000,135090000,-157263000,0,-5280000,0,8743000,8743000,-1350000,0,0.325,12907000,7288000,15752000,0.778,3.352,27.578,27.822,862108000,0,25.04,7.84,7.84,12401000,15660000,26872000,0,868000,6389000,1,32263740,32263740,,0.833,1181246000,0,1857000,0,36.612,2008,3,1
HTA,HEALTH CARE,3/31/08,2/19/20,5/14/08,222535.09,0,540806000,17.932,-108384000,13366000,4468000,-6610000,1.476,297353000,0,5871000,0,,0,-2898000,2973000,0.227,-6610000,-0.54,-0.54,217572000,,,,-105798000,-8.72,8649000,0.659,76598000,3712000,748195000,0,0,321105000,,3948000,0,58281000,59747000,0,109092000,-107730000,0,2586000,0,-6610000,-6610000,0,0,-0.504,8101000,548000,13240000,0,,,,442653000,0,,,,2517000,-26183000,13117000,0,19000,1848000,1,15716408,12133171,12133171,1.081,464208000,0,0,0,38.259,2008,3,1
WELL,HEALTH CARE,3/31/08,2/14/20,5/9/08,418585.3,-18474000,5387456000,29.136,-168315000,32282000,11367000,36599000,1.144,2758437000,0,39574000,0,0.055,0.68,72207000,111781000,0.823,37878000,0.35,0.35,2508607000,7075154084,25,15.981,-90864000,-1.055,124485000,0.916,0,34329000,8113611000,0,382012000,2869152000,4348999084,2013000,0,138254000,55394000,-63337000,130238000,-205676000,-32489000,77451000,0,36599000,30452000,-113000,0,0.224,53655000,70830000,0,1.943,1.734,35.252,32.503,4772512000,6147000,48.43,8.499,8.149,171833000,-399442000,135852000,0,3848000,12328000,1,89799692,86100000,86610000,1.578,5387456000,0,1279000,0,62.572,2008,3,1
WRI,STRIP CENTER,3/31/08,2/28/20,5/9/08,130396.35,-22460000,5043685000,17.293,14879000,61488000,44997000,37394000,2.474,3214656000,0,43505000,0,0.072,1.055,73621000,117126000,0.755,38141000,0.34,0.34,1451715000,6138431671,16,11.765,24452000,0.291,110163000,0.71,0,35480000,8196853000,0,407073000,3591970000,2985263671,-4289000,-31544000,0,48452000,-52674000,-5015000,-8847000,0,9573000,0,37394000,28776000,-8635000,0,0.185,41277000,68886000,117111000,3.103,2.056,15.328,15.528,4212111000,8618000,35.56,4.885,4.885,95628000,27459000,155160000,0,0,6854000,1,83950047,83950047,,1.848,5043685000,0,747000,0,60.08,2008,3,1
HIW,OFFICE,3/31/08,4/28/20,5/9/08,106741.17,-1828000,2957818000,17.796,-49460000,20457000,39128000,15643000,1.863,1738534000,0,27358000,0,0.05,0.425,39106000,66464000,0.579,15643000,0.23,0.22,1009549000,3656279116,25,14.296,-28646000,-0.505,75652000,0.659,0,23463000,4675895000,0,61090000,1880673000,1938202116,3455000,-37000,-3979000,61220000,-25982000,27561000,-44920000,2190000,20814000,0,15643000,12805000,-146000,0,0.112,40752000,34900000,142139000,1.848,1.92,49.264,48.314,2643519000,2838000,33.82,4.355,4.311,97497000,-572591000,114780000,0,2227000,9711000,1,57309347,56729000,61050000,2.023,2957818000,0,0,0,52.139,2008,3,1
VTR,HEALTH CARE,3/31/08,2/24/20,5/7/08,409878.44,14819000,5651788000,14.506,-6903000,103968000,76957000,32052000,1.84,3157111000,8700000,71836000,0,0.042,0.512,74878000,146714000,0.633,22014000,0.24,0.23,1978374000,9503211847,21,13.159,97723000,0.717,154807000,0.668,0,52864000,8704931000,0,0,3641098000,6450068847,23302000,0,191668000,-197094000,-70906000,-74466000,-6858000,62000,104626000,-289000,32052000,32052000,-954000,0,0.138,80563000,74244000,142386000,2.133,3.26,24.426,21.972,5400559000,0,46.58,7.294,7.184,0,-86698000,231764000,0,1949000,8257000,1,138472925,136381000,136673000,1.699,5651788000,0,-10038000,286153000,41.441,2008,3,1
DEI,OFFICE,3/31/08,2/15/20,5/8/08,205398.89,-192009000,6824373000,16.25,-627103000,4493000,35241000,-2500000,2.261,3729368000,0,46551000,34278000,0.029,0.188,38703000,85254000,0.632,-2500000,-0.02,-0.02,1922151000,6670800230,44,20.487,-573060000,-4.845,99587000,0.739,22210000,41203000,10527038000,0,0,4346097000,2945925230,-1350000,0,0,624850000,-19221000,571710000,-627103000,0,54043000,0,-2500000,-2500000,0,0,-0.019,62034000,37553000,66882000,-9.4,1.533,-240.779,-202.417,6595672000,0,24.29,5.606,5.468,252000,-159287000,134828000,0,3291000,5285000,1,121281401,118283579,118283579,1.14,6802163000,0,0,0,57.507,2008,3,1
PEI,MALL,3/31/08,3/16/20,5/9/08,82257.67,-24459000,3297388000,18.538,-67162000,20650000,44427000,-2128000,3.514,2328469000,0,33621000,20573000,0.087,0,25172000,58793000,0.51,-1819000,-0.06,-0.06,717686000,3339413450,25,12.848,-27392000,-0.708,70923000,0.615,95914000,26991000,5509293000,0,35859000,2522102000,1031594450,-7275000,-4338000,0,48570000,-22404000,24898000,-71943000,0,39770000,0,-1819000,-2128000,0,-309000,-0.018,47591000,23332000,0,0,1.437,49.694,50.442,3020643000,309000,26.23,2.203,2.168,45067000,-118045000,115350000,0,2009000,10507000,1,39328801,38714000,38714000,2.98,3201474000,0,0,0,82.696,2008,3,1
HR,HEALTH CARE,3/31/08,2/13/20,5/5/08,134932.26,-4346000,1493361000,12.557,-16145000,11068000,19028000,6799000,1.407,792361000,0,13119000,0,0.064,0,18085000,31204000,0.567,6799000,0.14,0.13,620460000,2220157367,28,16.93,15610000,0.316,35977000,0.654,0,11286000,2274654000,0,31376000,872901000,1438864367,2549000,423000,185000,7093000,-19533000,-12255000,-16951000,-1229000,31755000,0,6799000,6799000,-1146000,0,0.124,19038000,16939000,39320000,0,2.319,47.15,45.742,1355208000,0,28.36,6.706,6.531,0,-662971000,55005000,0,1296000,6045000,1,50735697,49413058,50407119,1.113,1493361000,0,0,0,30.222,2008,3,1
