ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
SPG,MALL,12/31/16,2/28/20,2/24/17,352284.42,-114126000,31103578000,13.477,-221268000,560059000,242491000,455603000,6.033,22977104000,0,355900000,0,0.036,3.4,605823000,961723000,0.674,396317000,1.26,1.26,4310448000,81358923902,30,20.068,618652000,1.934,1183475000,0.83,0,209506000,53520623000,0,4164977000,26005904000,58941878902,-254688000,1093000,-255349000,104948000,-597310000,-887355000,-207253000,12922000,839920000,0,395265000,394431000,0,60338000,0.277,483517000,699958000,1214022000,2.698,13.674,32.111,31.395,24360335000,834000,184.29,10.844,10.844,664619000,-4459387000,1425966000,0,0,96702000,1,319832215,319832215,,4.458,31103578000,0,1052000,0,97.25,2016,12,4
FRT,STRIP CENTER,12/31/16,2/11/20,2/13/17,76377.66,-2577000,5423279000,27.596,-133348000,23368000,64063000,59724000,1.621,2798452000,0,48448000,16285000,0.027,0.98,81888000,130336000,0.639,58037000,0.81,0.8,1976733000,13082587954,38,24.295,-3066000,-0.043,140046000,0.686,0,23851000,8198363000,0,44768000,3203750000,10307503954,-77913000,-3726000,29063000,-14118000,-69944000,-56391000,-151804000,-95000,130282000,0,58037000,57902000,0,1687000,0.284,56569000,83477000,201756000,1.21,5.214,41.334,40.726,5029839000,135000,142.95,12.859,12.64,116749000,-749734000,204109000,0,0,8121000,1,72105659,71630000,71784000,2.849,5423279000,0,0,0,75.712,2016,12,4
WELL,HEALTH CARE,12/31/16,2/14/20,2/22/17,418585.3,-169531000,28865184000,40.86,958867000,607220000,494835000,351109000,0.891,12358245000,0,227916000,0,0.051,1.73,459170000,687086000,0.637,332810000,0.93,0.92,14806393000,36296232539,23,14.628,1315216000,3.63,583487000,0.541,68321000,126360000,40547888000,0,1073203000,13185279000,24545207539,-9239000,-12509000,14127000,-977419000,-328489000,-1336637000,981633000,144735000,356349000,-10584000,349395000,333044000,0,1714000,0.309,292451000,291036000,0,1.86,1.658,24.245,23.922,25947564000,16351000,67.7,5.733,5.666,1168876000,-3341406000,1078322000,0,8251000,32807000,1,362558457,362367000,364652000,2.976,28796863000,0,-16585000,0,79.469,2016,12,4
VNO,OFFICE,12/31/16,2/26/20,2/13/17,206896.49,118972000,20814847000,36.497,-320161000,1599322000,262023000,704544000,1.728,10611685000,287846000,149230000,0,0.02,1.083,764061000,913291000,1.431,665817000,3.45,3.43,6898519000,29142151250,22,15.232,106259000,0.562,376237000,0.589,192731000,98244000,29634479000,0,2093855000,11917905000,20129788250,148330000,78159000,1249000,99858000,-119098000,-80918000,-197172000,19449000,426420000,0,667310000,651181000,-1012000,37234000,1.02,201133000,175104000,458694000,0.314,2.918,24.441,24.415,14826384000,16129000,106.45,8.032,8.021,1127203000,-1419382000,638260000,0,0,44569000,1,189100876,189014000,190434000,3.377,20622116000,0,-1493000,0,109.104,2016,12,4
ESRT,OFFICE,12/31/16,3/1/20,2/27/17,210320.07,-2789000,3890953000,7.431,-61525000,615885000,73328000,33008000,1.653,1612331000,32212000,39829000,47183000,0.018,0.105,36843000,76672000,0.428,19006000,0.11,0.11,1154136000,4427966542,34,15.542,-5010000,-0.032,105935000,0.591,491479000,17837000,4395920000,0,0,1908090000,3431520542,-39926000,0,-72000,-3085000,-16321000,-34896000,-61545000,0,56515000,0,17200000,16966000,0,15808000,0.095,53284000,52651000,134064000,0.955,2.973,66.688,57.684,1902083000,234000,21.92,5.061,4.328,174616000,50904000,179263000,0,2475000,13455000,1,156547470,155304000,297188000,1.154,3399474000,0,1806000,0,21.889,2016,12,4
PLD,INDUSTRIAL,12/31/16,5/1/20,2/15/17,764100.94,-937473000,30249932000,28.391,-669937000,807316000,171773000,466702000,0.787,10608294000,0,225736000,0,0.034,0.42,530732000,756468000,1.22,460163000,0.84,0.83,14991081000,35955914450,23,14.39,-249943000,-0.473,448342000,0.723,0,70569000,40050910000,0,4262529000,11791792000,26154936450,432196000,160053000,1369000,-231290000,-224071000,-496802000,521906000,64699000,419994000,-12902000,442197000,440539000,0,24505000,0.71,284134000,164208000,556179000,0.5,1.745,21.737,21.576,23360958000,1658000,49.41,10.325,10.262,0,-3610007000,620115000,0,16683000,56433000,1,529345000,528026000,550980000,1.174,30249932000,0,17966000,0,57.289,2016,12,4
KIM,STRIP CENTER,12/31/16,2/26/20,2/27/17,435597.78,5766000,11230600000,12.422,-51872000,142486000,81912000,80686000,1.092,5066368000,0,90884000,0,0.042,0.27,120593000,211477000,0.712,77526000,0.16,0.16,5256139000,15330511539,24,15.342,95698000,0.226,215114000,0.724,0,43067000,16154482000,0,721456000,5740773000,10406629539,-28059000,-30781000,586000,47501000,-119933000,-92769000,-82860000,-207000,147570000,0,78273000,66718000,0,2413000,0.225,143297000,71817000,145751000,1.688,1.98,31.286,30.949,9729783000,11555000,24.45,8.889,8.738,205020000,-676867000,297026000,0,3779000,27462000,1,425629020,423121000,424134000,0.702,11230600000,0,-747000,0,26.542,2016,12,4
JBGS,OFFICE,12/31/16,2/26/20,4/3/17,157634.71,0,3705748000,18.331,,32263000,,,0.71,1165014000,0,,0,,0,,,,,,,2166797000,,,,,,,,3063000,,4835436000,0,94871000,1538656000,,,,,,,,,,,,,,,,,,,324155000,,,,,3224622000,,,,,245024000,,,,,,1,118200851,118200851,,,3702685000,0,,0,31.325,2016,12,4
EGP,INDUSTRIAL,12/31/16,2/14/20,2/15/17,39055,1995000,1825764000,19.395,-118184000,522000,20217000,15371000,1.857,1101333000,0,20179000,0,0.034,0.62,23359000,43538000,0.656,15224000,0.46,0.46,637661000,3471144505,27,16.636,-86272000,-2.624,46134000,0.695,0,8135000,2926575000,0,7681000,1183898000,2370333505,489000,0,29697000,81639000,-20481000,90992000,-122415000,1514000,31912000,0,15224000,15224000,0,147000,0.229,22748000,23386000,52701000,1.348,3.717,24.818,24.283,1712731000,0,71.15,9.367,9.156,0,-313655000,66351000,0,631000,2569000,1,33314596,32878000,32955000,2.018,1825764000,0,0,0,55.531,2016,12,4
CONE,DATA CENTER,12/31/16,4/30/20,2/28/17,116051.57,-1300000,2852400000,14.136,-174600000,14600000,47800000,800000,1.455,1386600000,76700000,49300000,0,0.03,0.38,12700000,62000000,0.451,1300000,0,0,1162000000,5619158454,80,22.088,-135600000,-1.65,89600000,0.652,605300000,11400000,3619100000,0,0,1690400000,4247158454,3600000,0,100000,171100000,-31500000,139200000,-174600000,0,39000000,0,800000,800000,0,0,0.006,76900000,12700000,227100000,,3.655,213.425,212.083,2023100000,0,50.9,8.027,7.533,83300000,-249800000,137400000,0,3800000,21900000,1,83441227,82200000,83200000,1.672,2247100000,0,500000,0,27.337,2016,12,4
